"ticker","entryDate","exitDate","holdingPeriod","totalCost","totalProceeds","profitLoss","profitLossPercent","reason"
"TSM","2019-10-14","2019-11-11",28,"24955.38","26338.97","1383.59","5.54","atr_trailing_stop_intraday"
"SWKS","2019-10-11","2019-11-13",33,"19945.52","22136.97","2191.45","10.99","atr_trailing_stop_gap_down"
"TER","2019-10-14","2019-11-21",38,"24940.87","25743.20","802.33","3.22","atr_trailing_stop_intraday"
"KLAC","2019-11-14","2019-11-21",7,"22149.07","20956.54","-1192.53","-5.38","atr_trailing_stop_gap_down"
"ASML","2019-10-14","2019-12-03",50,"24733.94","25133.62","399.68","1.62","atr_trailing_stop_gap_down"
"DOCU","2019-11-22","2019-12-03",11,"26375.68","25365.49","-1010.19","-3.83","atr_trailing_stop_intraday"
"CPRT","2019-11-22","2019-12-03",11,"20310.39","20118.28","-192.10","-0.95","atr_trailing_stop_intraday"
"MRNA","2019-12-04","2019-12-06",2,"21535.76","19713.52","-1822.25","-8.46","atr_trailing_stop_intraday"
"DXCM","2019-11-12","2019-12-11",29,"26334.32","27451.57","1117.25","4.24","atr_trailing_stop_intraday"
"UMC","2019-12-04","2019-12-31",27,"16165.61","16775.40","609.79","3.77","atr_trailing_stop_gap_down"
"QRVO","2019-12-12","2020-01-06",25,"26180.36","25699.70","-480.66","-1.84","atr_trailing_stop_gap_down"
"TSM","2019-12-09","2020-01-07",29,"26234.98","27367.33","1132.34","4.32","atr_trailing_stop_intraday"
"FANG","2020-01-02","2020-01-13",11,"21619.61","21210.21","-409.40","-1.89","atr_trailing_stop_intraday"
"ALGN","2020-01-07","2020-01-14",7,"26889.92","26571.85","-318.07","-1.18","atr_trailing_stop_intraday"
"STM","2019-10-14","2020-01-27",105,"5414.47","7409.25","1994.78","36.84","atr_trailing_stop_intraday"
"SHOP","2019-12-04","2020-01-27",54,"16143.07","20624.96","4481.90","27.76","atr_trailing_stop_gap_down"
"MU","2020-01-08","2020-01-27",19,"27094.36","25697.37","-1396.98","-5.16","atr_trailing_stop_gap_down"
"JD","2020-01-14","2020-01-27",13,"26965.45","24892.71","-2072.74","-7.69","atr_trailing_stop_gap_down"
