"date","strategyEquity","spyBenchmark"
"2019-09-03","100000.00","100000.00"
"2019-09-04","100000.00","101135.04"
"2019-09-05","100000.00","102435.17"
"2019-09-06","100000.00","102514.27"
"2019-09-09","100000.00","102565.87"
"2019-09-10","100000.00","102541.80"
"2019-09-11","100000.00","103270.97"
"2019-09-12","100000.00","103628.68"
"2019-09-13","100000.00","103559.88"
"2019-09-16","100000.00","103240.01"
"2019-09-17","100000.00","103501.42"
"2019-09-18","100000.00","103563.33"
"2019-09-19","100000.00","103556.44"
"2019-09-20","100000.00","102593.39"
"2019-09-23","100000.00","102569.31"
"2019-09-24","100000.00","101764.46"
"2019-09-25","100000.00","102366.38"
"2019-09-26","100000.00","102153.13"
"2019-09-27","100000.00","101602.81"
"2019-09-30","100000.00","102074.02"
"2019-10-01","100000.00","100859.87"
"2019-10-02","100000.00","99078.22"
"2019-10-03","100000.00","99889.94"
"2019-10-04","100000.00","101241.66"
"2019-10-07","100000.00","100804.84"
"2019-10-08","100000.00","99239.87"
"2019-10-09","100000.00","100182.29"
"2019-10-10","100000.00","100859.87"
"2019-10-11","99839.44","101905.49"
"2019-10-14","99963.67","101791.99"
"2019-10-15","101720.35","102799.76"
"2019-10-16","99472.31","102634.66"
"2019-10-17","99640.42","102937.34"
"2019-10-18","98937.48","102486.76"
"2019-10-21","100902.87","103181.54"
"2019-10-22","100059.43","102844.47"
"2019-10-23","100613.74","103143.71"
"2019-10-24","103279.42","103312.24"
"2019-10-25","103555.77","103735.30"
"2019-10-28","104573.17","104320.01"
"2019-10-29","104234.37","104289.06"
"2019-10-30","104130.18","104608.94"
"2019-10-31","102943.77","104330.33"
"2019-11-01","106304.19","105296.84"
"2019-11-04","107658.55","105719.89"
"2019-11-05","107492.98","105602.95"
"2019-11-06","107272.20","105627.03"
"2019-11-07","107181.68","105998.49"
"2019-11-08","107581.10","106259.89"
"2019-11-11","107602.39","106056.96"
"2019-11-12","108553.19","106280.53"
"2019-11-13","108429.26","106314.93"
"2019-11-14","107136.36","106469.70"
"2019-11-15","109152.68","107240.15"
"2019-11-18","108938.01","107319.25"
"2019-11-19","108695.34","107288.30"
"2019-11-20","108472.14","106889.32"
"2019-11-21","105515.80","106717.34"
"2019-11-22","107545.68","106954.67"
"2019-11-25","109108.23","107783.59"
"2019-11-26","109385.89","108027.79"
"2019-11-27","109470.34","108509.33"
"2019-11-29","108772.59","108106.90"
"2019-12-02","107104.38","107188.56"
"2019-12-03","107779.46","106469.70"
"2019-12-04","107798.99","107126.64"
"2019-12-05","107329.22","107319.25"
"2019-12-06","105085.99","108299.51"
"2019-12-09","104888.14","107959.01"
"2019-12-10","104364.37","107838.62"
"2019-12-11","104875.97","108144.74"
"2019-12-12","107320.72","109076.84"
"2019-12-13","107120.78","109142.20"
"2019-12-16","108370.76","109892.00"
"2019-12-17","108726.95","109916.08"
"2019-12-18","108874.41","109922.96"
"2019-12-19","108610.69","110373.53"
"2019-12-20","108329.81","110315.07"
"2019-12-23","108604.95","110483.60"
"2019-12-24","109069.95","110487.04"
"2019-12-26","109600.64","111075.19"
"2019-12-27","109509.30","111047.67"
"2019-12-30","108304.85","110435.44"
"2019-12-31","108417.86","110703.72"
"2020-01-02","109828.62","111739.01"
"2020-01-03","108139.92","110892.90"
"2020-01-06","108049.75","111315.96"
"2020-01-07","108529.36","111002.97"
"2020-01-08","107404.43","111594.56"
"2020-01-09","109191.78","112351.24"
"2020-01-10","107964.98","112027.93"
"2020-01-13","108999.18","112798.38"
"2020-01-14","108538.66","112626.41"
"2020-01-15","106706.13","112880.93"
"2020-01-16","107234.74","113819.92"
"2020-01-17","107818.84","114174.18"
"2020-01-21","110530.08","113950.61"
"2020-01-22","112485.39","113964.37"
"2020-01-23","113129.19","114095.07"
"2020-01-24","111118.44","113080.42"
"2020-01-27","107400.18","111267.80"
"2020-01-28","107066.86","112433.80"
"2020-01-29","107773.24","112340.93"
"2020-01-30","113043.82","112705.51"
"2020-01-31","111758.23","110659.02"
"2020-02-03","118694.01","111481.05"
"2020-02-04","116234.89","113180.16"
"2020-02-05","113969.83","114487.17"
"2020-02-06","111872.07","114872.40"
"2020-02-07","112159.16","114260.17"
"2020-02-10","113357.05","115113.16"
"2020-02-11","113678.64","115312.66"
"2020-02-12","116106.92","116055.59"
"2020-02-13","116130.13","115931.76"
"2020-02-14","115958.49","116117.50"
"2020-02-18","116767.47","115818.26"
"2020-02-19","129795.90","116372.02"
"2020-02-20","121503.07","115893.93"
"2020-02-21","118041.04","114700.43"
"2020-02-24","111675.65","110896.34"
"2020-02-25","110729.96","107535.94"
"2020-02-26","110998.65","107140.40"
"2020-02-27","105837.74","102328.55"
"2020-02-28","107083.46","101898.61"
"2020-03-02","107083.46","106311.48"
"2020-03-03","106432.70","103267.52"
"2020-03-04","106742.09","107608.17"
"2020-03-05","107503.22","104031.09"
"2020-03-06","106777.39","102311.34"
"2020-03-09","106777.39","94321.39"
"2020-03-10","106777.39","99202.04"
"2020-03-11","106777.39","94366.10"
"2020-03-12","106777.39","85337.42"
"2020-03-13","106777.39","92632.60"
