"type","date","ticker","shares","price","reason"
"BUY","2019-10-11","SWKS",272,73.32912625644788,
"BUY","2019-10-14","TSM",569,43.8583086837315,
"BUY","2019-10-14","ASML",101,244.89046437751784,
"BUY","2019-10-14","TER",420,59.38302516780574,
"BUY","2019-10-14","STM",271,19.979585009454198,
"SELL","2019-11-11","TSM",569,46.28992120113311,"atr_trailing_stop_intraday"
"BUY","2019-11-12","DXCM",516,51.03550332069397,
"SELL","2019-11-13","SWKS",272,81.38591624220389,"atr_trailing_stop_gap_down"
"BUY","2019-11-14","KLAC",136,162.86079219862458,
"SELL","2019-11-21","TER",420,61.29333970822218,"atr_trailing_stop_intraday"
"SELL","2019-11-21","KLAC",136,154.09220289928203,"atr_trailing_stop_gap_down"
"BUY","2019-11-22","DOCU",375,70.33515305328369,
"BUY","2019-11-22","CPRT",926,21.933461860656738,
"SELL","2019-12-03","ASML",101,248.84771944663518,"atr_trailing_stop_gap_down"
"SELL","2019-12-03","DOCU",375,67.6413082575117,"atr_trailing_stop_intraday"
"SELL","2019-12-03","CPRT",926,21.72600661969185,"atr_trailing_stop_intraday"
"BUY","2019-12-04","MRNA",1025,21.0105,
"BUY","2019-12-04","SHOP",461,35.0175,
"BUY","2019-12-04","UMC",8757,1.8460211640000341,
"SELL","2019-12-06","MRNA",1025,19.232699853897095,"atr_trailing_stop_intraday"
"BUY","2019-12-09","TSM",537,48.854720407468044,
"SELL","2019-12-11","DXCM",516,53.200707963943486,"atr_trailing_stop_intraday"
"BUY","2019-12-12","QRVO",232,112.8463959159851,
"SELL","2019-12-31","UMC",8757,1.915655867755413,"atr_trailing_stop_gap_down"
"BUY","2020-01-02","FANG",298,72.54901198464232,
"SELL","2020-01-06","QRVO",232,110.77458683013917,"atr_trailing_stop_gap_down"
"BUY","2020-01-07","ALGN",94,286.0629734344482,
"SELL","2020-01-07","TSM",537,50.96336547793983,"atr_trailing_stop_intraday"
"BUY","2020-01-08","MU",478,56.68275126695249,
"SELL","2020-01-13","FANG",298,71.17519608661196,"atr_trailing_stop_intraday"
"BUY","2020-01-14","JD",742,36.34157594356154,
"SELL","2020-01-14","ALGN",94,282.6792923376901,"atr_trailing_stop_intraday"
"BUY","2020-01-15","TSLA",752,35.33499188804626,
"SELL","2020-01-27","STM",271,27.340391703212077,"atr_trailing_stop_intraday"
"SELL","2020-01-27","SHOP",461,44.73962003707886,"atr_trailing_stop_gap_down"
"SELL","2020-01-27","MU",478,53.76019429210387,"atr_trailing_stop_gap_down"
"SELL","2020-01-27","JD",742,33.548122182490786,"atr_trailing_stop_gap_down"
"BUY","2020-01-30","MDB",171,157.35863877868653,
"BUY","2020-01-30","META",105,205.0243489869157,
"BUY","2020-01-30","RMBS",1342,16.058024236679078,
"BUY","2020-01-30","AEP",105,82.22400243765748,
"SELL","2020-02-03","TSLA",752,44.89020998764038,"atr_trailing_stop_gap_down"
"BUY","2020-02-04","TWLO",227,130.45519438934326,
"SELL","2020-02-06","TWLO",227,120.53969847488403,"atr_trailing_stop_gap_down"
"BUY","2020-02-07","ENPH",735,38.019,
"SELL","2020-02-19","ENPH",735,47.48624332237244,"atr_trailing_stop_gap_down"
"BUY","2020-02-20","MELI",43,743.1613730163574,
